,District,Member,Party,Prior experience,Education,Assumed office,Residence,Birth_date
217,Minnesota,Tom Emmer,Republican,Minnesota House of Representatives,"Boston College
University of Alaska Fairbanks (BA)
William Mitchell College of Law (JD)",2015,Delano,61
218,Minnesota,Michelle Fischbach,Republican,"Lieutenant Governor of Minnesota 
President of the Minnesota Senate 
Minnesota Senate","St. Cloud State University (BA)
William Mitchell College of Law (JD)",2021,Regal,56
219,Minnesota,Pete Stauber,Republican,"St. Louis County Commission 
Police lieutenant 
Professional hockey player",Lake Superior State University (BA),2019,Hermantown,56
220,Mississippi,Trent Kelly,Republican,"District attorney,
Tupelo City prosecutor
Army National Guard Colonel","East Central Community College
University of Mississippi (BA, JD)
United States Army War College (MA)",2015 (special),Saltillo,56
221,Mississippi,Bennie Thompson,Democratic,"Alderman and Mayor of Bolton
Hinds County Board of Supervisors","Tougaloo College (BA)
Jackson State University (MS)",1993 (special),Bolton,74
222,Mississippi,Michael Guest,Republican,District Attorney for Madison and Rankin Counties,"Mississippi State University (BS)
University of Mississippi (JD)",2019,Brandon,52
223,Mississippi,Steven Palazzo,Republican,Mississippi House of Representatives,"University of Southern Mississippi (BA, MPA)",2011,Biloxi,52
224,Missouri,Cori Bush,Democratic,"Registered nurse 
Pastor 
Activist",Lutheran School of Nursing (GrDip),2021,St. Louis,46
225,Missouri,Ann Wagner,Republican,U.S. Ambassador to Luxembourg,University of Missouri (BS),2013,Ballwin,60
226,Missouri,Blaine Luetkemeyer,Republican,"Missouri House of Representatives
State Tourism Director","Lincoln University, Missouri (BA)",2009,St. Elizabeth,70
227,Missouri,Vicky Hartzler,Republican,Missouri House of Representatives,"University of Missouri (BS)
University of Central Missouri (MS)",2011,Harrisonville,61
228,Missouri,Emanuel Cleaver,Democratic,"Mayor of Kansas City
Pastor
Radio show host","Prairie View A&M University (BS)
Saint Paul School of Theology (MDiv)",2005,Kansas City,77
229,Missouri,Sam Graves,Republican,Missouri Senate,University of Missouri (BS),2001,Tarkio,58
230,Missouri,Billy Long,Republican,Auctioneer,University of Missouri,2011,Springfield,67
231,Missouri,Jason Smith,Republican,Missouri House of Representatives,"University of Missouri (BS)
Oklahoma City University (JD)",2013 (special),Salem,42
232,Montana,Matt Rosendale,Republican,"Montana State Auditor
Montana Senate
Montana House of Representatives",–,2021,Glendive,62
233,Nebraska,Mike Flood,Republican,Speaker of the Nebraska Legislature,"University of Notre Dame (BA)
University of Nebraska–Lincoln (JD)",2022 (special),Norfolk,47
234,Nebraska,Don Bacon,Republican,U.S. Air Force Brigadier General,"Northern Illinois University (BA)
University of Phoenix (MBA)
National Defense University (MA)",2017,Papillion,59
235,Nebraska,Adrian Smith,Republican,"Nebraska Legislature
Gering City Council","Liberty University
University of Nebraska–Lincoln (BA)",2007,Gering,51
236,Nevada,Dina Titus,Democratic,"U.S. House
Nevada Senate","College of William & Mary (BA)
University of Georgia (MA)
Florida State University (PhD)",2013,Las Vegas,72
237,Nevada,Mark Amodei,Republican,"Nevada Senate
Nevada Assembly","University of Nevada, Reno (BA)
University of the Pacific (JD)",2011 (special),Carson City,64
238,Nevada,Susie Lee,Democratic,Education advocate,"Carnegie Mellon University (BA, MS)",2019,Las Vegas,55
239,Nevada,Steven Horsford,Democratic,"U.S. House
Nevada Senate","University of Nevada, Reno (BA)",2019,Las Vegas,49
240,New Hampshire,Chris Pappas,Democratic,"New Hampshire Executive Council
Treasurer of Hillsborough County
New Hampshire House of Representatives",Harvard University (BA),2019,Manchester,42
241,New Hampshire,Annie Kuster,Democratic,"Attorney
Lobbyist","Dartmouth College (BA)
Georgetown University (JD)",2013,Hopkinton,66
242,New Jersey,Donald Norcross,Democratic,"New Jersey Senate
New Jersey General Assembly","Camden County College
Rutgers University-Camden",2014 (special),Camden,63
243,New Jersey,Jeff Van Drew,Republican,"New Jersey Senate
New Jersey General Assembly","Rutgers University–New Brunswick (BS)
Fairleigh Dickinson University (DMD)",2019,Dennis Township,69
244,New Jersey,Andy Kim,Democratic,National security adviser,"Deep Springs College
University of Chicago (BA)
Magdalen College, Oxford (MPhil, DPhil)",2019,Moorestown,40
245,New Jersey,Chris Smith,Republican,Retail executive,The College of New Jersey (BS),1981,Hamilton Township,69
246,New Jersey,Josh Gottheimer,Democratic,"Attorney
Political aide","University of Pennsylvania (BA)
Pembroke College, Oxford
Harvard University (JD)",2017,Wyckoff,47
247,New Jersey,Frank Pallone,Democratic,"New Jersey Senate
Long Branch City Council","Middlebury College (BA)
Tufts University (MA)
Rutgers University–Camden (JD)",1988 (special),Long Branch,70
248,New Jersey,Tom Malinowski,Democratic,"Assistant Secretary of State for Democracy, Human Rights, and Labor","University of California, Berkeley (BA)
St Antony's College, Oxford (MPhil)",2019,Rocky Hill,56
249,New Jersey,Albio Sires,Democratic,"Mayor of West New York
New Jersey General Assembly","Saint Peter's University (BA)
Middlebury College (MA)",2006 (special),West New York,71
250,New Jersey,Bill Pascrell,Democratic,"New Jersey General Assembly
Mayor of Paterson","Fordham University (BA, MA)",1997,Paterson,85
251,New Jersey,Donald Payne Jr.,Democratic,"Newark Municipal Council
Essex County Freeholder",Kean University,2012 (special),Newark,63
252,New Jersey,Mikie Sherrill,Democratic,"Assistant United States Attorney for the District of New Jersey
U.S. Navy helicopter pilot","United States Naval Academy (BS)
London School of Economics (MSc)
Georgetown University (JD)",2019,Montclair,50
253,New Jersey,Bonnie Watson Coleman,Democratic,New Jersey General Assembly,"Rutgers University-Camden
Thomas Edison State University (BA)",2015,Ewing Township,77
254,New Mexico,Melanie Stansbury,Democratic,New Mexico House of Representatives,"Saint Mary's College of California (BA)
Cornell University (MS)",2021 (special),Albuquerque,43
255,New Mexico,Yvette Herrell,Republican,New Mexico House of Representatives,ITT Technical Institute (GrCert),2021,Alamogordo,58
256,New Mexico,Teresa Leger Fernandez,Democratic,Attorney,"Yale University (BA)
Stanford University (JD)",2021,Santa Fe,63
