name,playcount,listeners,url
alt-J,90327991,1598746,https://www.last.fm/music/alt-J
Snoop Dogg,51530646,3131298,https://www.last.fm/music/Snoop+Dogg
Current Joys,16288373,594409,https://www.last.fm/music/Current+Joys
Polo G,48193891,602388,https://www.last.fm/music/Polo+G
aespa,36055145,334290,https://www.last.fm/music/aespa
SKI MASK THE SLUMP GOD,28429958,620611,https://www.last.fm/music/SKI+MASK+THE+SLUMP+GOD
Pierce The Veil,42100886,816313,https://www.last.fm/music/Pierce+The+Veil
DaBaby,29974617,809178,https://www.last.fm/music/DaBaby
Two Door Cinema Club,84057012,2181635,https://www.last.fm/music/Two+Door+Cinema+Club
Roddy Ricch,25190640,717908,https://www.last.fm/music/Roddy+Ricch
Slowdive,54897712,1017999,https://www.last.fm/music/Slowdive
Elliott Smith,138412246,2047470,https://www.last.fm/music/Elliott+Smith
DJ Snake,23100013,1300681,https://www.last.fm/music/DJ+Snake
Creedence Clearwater Revival,75346923,2856038,https://www.last.fm/music/Creedence+Clearwater+Revival
My Bloody Valentine,68881004,1292271,https://www.last.fm/music/My+Bloody+Valentine
Ice Cube,31321785,2022077,https://www.last.fm/music/Ice+Cube
Crystal Castles,124259600,1936415,https://www.last.fm/music/Crystal+Castles
The walters,9787870,605213,https://www.last.fm/music/The+walters
Kings of Leon,188403857,3924789,https://www.last.fm/music/Kings+of+Leon
Itzy,48061773,424157,https://www.last.fm/music/Itzy
Dr. Dre,54172241,2904340,https://www.last.fm/music/Dr.+Dre
STRAY KIDS,102712433,418594,https://www.last.fm/music/STRAY+KIDS
Vance Joy,25595615,1340394,https://www.last.fm/music/Vance+Joy
The Velvet Underground,81886970,2407527,https://www.last.fm/music/The+Velvet+Underground
Lil Tecca,27865392,596208,https://www.last.fm/music/Lil+Tecca
Yung Gravy,14840075,525040,https://www.last.fm/music/Yung+Gravy
Vince Staples,43148068,812376,https://www.last.fm/music/Vince+Staples
Blood Orange,31761071,837966,https://www.last.fm/music/Blood+Orange
bôa,11523453,439866,https://www.last.fm/music/b%C3%B4a
Aurora,33958819,904328,https://www.last.fm/music/Aurora
PARTYNEXTDOOR,23486825,766159,https://www.last.fm/music/PARTYNEXTDOOR
The Doors,157025882,3639406,https://www.last.fm/music/The+Doors
M.I.A.,70738493,2332016,https://www.last.fm/music/M.I.A.
Little Mix,77021385,1105470,https://www.last.fm/music/Little+Mix
Mark Ronson,30774554,1856045,https://www.last.fm/music/Mark+Ronson
Central Cee,9274436,322061,https://www.last.fm/music/Central+Cee
Fiona Apple,72015695,1801644,https://www.last.fm/music/Fiona+Apple
Bon Jovi,78145592,2906493,https://www.last.fm/music/Bon+Jovi
Blondie,41694658,2233107,https://www.last.fm/music/Blondie
Swedish House Mafia,26417455,1711093,https://www.last.fm/music/Swedish+House+Mafia
STAYC,28779973,289179,https://www.last.fm/music/STAYC
Kids See Ghosts,28148576,596039,https://www.last.fm/music/Kids+See+Ghosts
Giveon,19042303,556550,https://www.last.fm/music/Giveon
Tom Odell,20591710,1025517,https://www.last.fm/music/Tom+Odell
A$AP Ferg,20796984,856843,https://www.last.fm/music/A$AP+Ferg
Franz Ferdinand,125888025,3595636,https://www.last.fm/music/Franz+Ferdinand
Rae Sremmurd,19096572,932567,https://www.last.fm/music/Rae+Sremmurd
Jimi Hendrix,92267313,3189908,https://www.last.fm/music/Jimi+Hendrix
Flo Rida,41512937,2745796,https://www.last.fm/music/Flo+Rida
Lykke Li,68725507,2102689,https://www.last.fm/music/Lykke+Li
R.E.M.,111525175,3337833,https://www.last.fm/music/R.E.M.
LE SSERAFIM,10936934,198458,https://www.last.fm/music/LE+SSERAFIM
Seventeen,83830716,381496,https://www.last.fm/music/Seventeen
Sabrina Carpenter,27617520,599637,https://www.last.fm/music/Sabrina+Carpenter
Rage Against the Machine,109585057,3256439,https://www.last.fm/music/Rage+Against+the+Machine
Yeah Yeah Yeahs,96403131,2883908,https://www.last.fm/music/Yeah+Yeah+Yeahs
Queens of the Stone Age,168121023,2846687,https://www.last.fm/music/Queens+of+the+Stone+Age
Alice in Chains,106534137,2307619,https://www.last.fm/music/Alice+in+Chains
J Balvin,28395538,902565,https://www.last.fm/music/J+Balvin
The Marías,17627930,582337,https://www.last.fm/music/The+Mar%C3%ADas
Major Lazer,45822549,1821659,https://www.last.fm/music/Major+Lazer
Disclosure,47227838,1484749,https://www.last.fm/music/Disclosure
Jaden,28332997,709019,https://www.last.fm/music/Jaden
Jason Derulo,9494475,757143,https://www.last.fm/music/Jason+Derulo
Zedd,33984160,1552588,https://www.last.fm/music/Zedd
Tate McRae,17549837,606221,https://www.last.fm/music/Tate+McRae
Beach Bunny,14895415,596632,https://www.last.fm/music/Beach+Bunny
Kygo,35464367,1253206,https://www.last.fm/music/Kygo
Lisa,29923285,650234,https://www.last.fm/music/Lisa
Pearl Jam,170893579,3127593,https://www.last.fm/music/Pearl+Jam
ENHYPEN,49048539,325607,https://www.last.fm/music/ENHYPEN
Yot Club,7227347,442572,https://www.last.fm/music/Yot+Club
Bryson Tiller,24587325,663276,https://www.last.fm/music/Bryson+Tiller
Diplo,17428364,1214301,https://www.last.fm/music/Diplo
Eagles,47125492,2607093,https://www.last.fm/music/Eagles
Meek Mill,24968673,1125814,https://www.last.fm/music/Meek+Mill
Declan Mckenna,18752211,650267,https://www.last.fm/music/Declan+Mckenna
(G)I-DLE,30197272,378451,https://www.last.fm/music/(G)I-DLE
Faye Webster,14471207,444665,https://www.last.fm/music/Faye+Webster
Her's,11969418,521083,https://www.last.fm/music/Her%27s
Aerosmith,85161445,3391408,https://www.last.fm/music/Aerosmith
Wiz Khalifa,57127014,2781574,https://www.last.fm/music/Wiz+Khalifa
Cafuné,5149320,299753,https://www.last.fm/music/Cafun%C3%A9
Vampire Weekend,123744246,2666215,https://www.last.fm/music/Vampire+Weekend
Bastille,61631738,1592966,https://www.last.fm/music/Bastille
Matt Maltese,9940449,491264,https://www.last.fm/music/Matt+Maltese
Still Woozy,18844052,618406,https://www.last.fm/music/Still+Woozy
Electric Light Orchestra,44472754,2023814,https://www.last.fm/music/Electric+Light+Orchestra
Marvin Gaye,45836199,2432550,https://www.last.fm/music/Marvin+Gaye
Kaytranada,25237927,735698,https://www.last.fm/music/Kaytranada
Clean Bandit,29821249,1412542,https://www.last.fm/music/Clean+Bandit
Gucci Mane,31450434,1758461,https://www.last.fm/music/Gucci+Mane
Stephen Sanchez,3184073,282667,https://www.last.fm/music/Stephen+Sanchez
bazzi,19089066,787036,https://www.last.fm/music/bazzi
Nayeon,7617951,203345,https://www.last.fm/music/Nayeon
Sonic Youth,86786928,1990543,https://www.last.fm/music/Sonic+Youth
Daryl Hall & John Oates,8072658,656966,https://www.last.fm/music/Daryl+Hall+&+John+Oates
Martin Garrix,28002358,1301993,https://www.last.fm/music/Martin+Garrix
Weyes Blood,17799623,453380,https://www.last.fm/music/Weyes+Blood
A Tribe Called Quest,61503416,1710652,https://www.last.fm/music/A+Tribe+Called+Quest
Coolio,8825891,1274877,https://www.last.fm/music/Coolio
John Mayer,137810539,2921792,https://www.last.fm/music/John+Mayer
Ava Max,27283955,747825,https://www.last.fm/music/Ava+Max
Flume,42468745,1179731,https://www.last.fm/music/Flume
Arcade Fire,210641127,2936269,https://www.last.fm/music/Arcade+Fire
Chance the Rapper,36886029,863236,https://www.last.fm/music/Chance+the+Rapper
Cults,19799913,1091421,https://www.last.fm/music/Cults
U2,163493333,3933484,https://www.last.fm/music/U2
IU,45465902,503058,https://www.last.fm/music/IU
