name,duration,playcount,listeners,mbid,url,artist
"It's Not a Fashion Statement, It's a Deathwish",212,3290098,414615,7bbba427-85c2-4e8f-9844-5b1ede847ccc,https://www.last.fm/music/Taking+Back+Sunday/_/MakeDamnSure,"{'name': 'Taking Back Sunday', 'mbid': '350bce49-c21b-4137-b50a-0766ded07e4d', 'url': 'https://www.last.fm/music/Taking+Back+Sunday'}"
Amour Plastique,0,1224491,157663,,https://www.last.fm/music/Studio+Killers/_/Jenny+(I+Wanna+Ruin+Our+Friendship),"{'name': 'Studio Killers', 'mbid': 'cc7d0735-ad9b-4bf9-bfb6-e7bd90945c45', 'url': 'https://www.last.fm/music/Studio+Killers'}"
I Still Haven't Found What I'm Looking For,0,1106791,125142,,https://www.last.fm/music/Jess+Benko/_/a+soulmate+who+wasn%E2%80%99t+meant+to+be,"{'name': 'Jess Benko', 'mbid': '', 'url': 'https://www.last.fm/music/Jess+Benko'}"
Hold On Till May,287,7366074,932260,73b01cea-2dad-4fc2-9e61-02a31477c1b1,https://www.last.fm/music/Pink+Floyd/_/The+Great+Gig+in+the+Sky,"{'name': 'Pink Floyd', 'mbid': '83d91898-7763-47d7-b03b-b92132375c47', 'url': 'https://www.last.fm/music/Pink+Floyd'}"
NEVER LEFT,0,116257,20313,,https://www.last.fm/music/Bibi/_/Animal+Farm,"{'name': 'Bibi', 'mbid': 'ec387e78-d510-447b-be78-4945b55fe708', 'url': 'https://www.last.fm/music/Bibi'}"
The Business,259,3288997,570630,1849fb91-c6ac-4944-91e5-903ab5cc94a9,https://www.last.fm/music/Kid+Cudi/_/Cudi+Zone,"{'name': 'Kid Cudi', 'mbid': 'e0e1db18-f7ba-4dee-95ff-7ae8cf545460', 'url': 'https://www.last.fm/music/Kid+Cudi'}"
Come Get Her,0,975461,83966,,https://www.last.fm/music/Tay-K/_/Gotta+Blast+(feat.+Diego+Money+&+Bandman+Fari),"{'name': 'Tay-K', 'mbid': '', 'url': 'https://www.last.fm/music/Tay-K'}"
Pagan Poetry,0,2283743,191086,,https://www.last.fm/music/SunMi/_/Gashina,"{'name': 'SunMi', 'mbid': '716a8be4-6f58-4e64-a1e6-fb3017f21bf6', 'url': 'https://www.last.fm/music/SunMi'}"
Mycelium,0,5830850,603816,,https://www.last.fm/music/Major+Lazer/_/Lean+On+(feat.+M%C3%98+&+DJ+Snake),"{'name': 'Major Lazer', 'mbid': '75be165a-ad83-4d12-bd28-f589a15c479f', 'url': 'https://www.last.fm/music/Major+Lazer'}"
pink panties,0,1210778,116877,,https://www.last.fm/music/Trippie+Redd/_/Leray,"{'name': 'Trippie Redd', 'mbid': '', 'url': 'https://www.last.fm/music/Trippie+Redd'}"
Music Sounds Better With You,230,1985937,243662,b872e129-4232-4448-8dc7-f342f48e891d,https://www.last.fm/music/Melanie+Martinez/_/Carousel,"{'name': 'Melanie Martinez', 'mbid': '0df563ec-1a79-486e-a46d-5b9862a40311', 'url': 'https://www.last.fm/music/Melanie+Martinez'}"
A Tu Merced,0,1308226,117160,,https://www.last.fm/music/Dave/_/Clash+(feat.+Stormzy),"{'name': 'Dave', 'mbid': 'c7740223-c657-4b0a-a0a4-b8349169e760', 'url': 'https://www.last.fm/music/Dave'}"
All Too Well,0,4365457,756753,01e1696b-b3c7-4ffe-a42b-ec2c952f7429,https://www.last.fm/music/Paul+Simon/_/You+Can+Call+Me+Al,"{'name': 'Paul Simon', 'mbid': '05517043-ff78-4988-9c22-88c68588ebb9', 'url': 'https://www.last.fm/music/Paul+Simon'}"
Excuse Me,242,3702918,271578,2d085490-1cf4-47b8-91ea-d5107640d9a7,https://www.last.fm/music/Bring+Me+the+Horizon/_/Shadow+Moses,"{'name': 'Bring Me the Horizon', 'mbid': '074e3847-f67f-49f9-81f1-8c8cea147e8e', 'url': 'https://www.last.fm/music/Bring+Me+the+Horizon'}"
The Lovecats,0,1596645,163345,,https://www.last.fm/music/Joji/_/NITROUS,"{'name': 'Joji', 'mbid': '', 'url': 'https://www.last.fm/music/Joji'}"
